symbol,high,low,percentchange,open,relvolume,price,watchers,hourchange,sentiment
EA,129.56,128.15,0.4837,128.28,0.4949,128.8,20704,0,0.0
NOC,478.4,472.07,-0.6058,478.4,0.4428,474.18,8041,0,8.57
AAPL,167.87,165.56,-0.5846,166.09,0.6838,166.65,878285,1,-2.83
IBM,130.98,125.84,0.0317,130.15,1.7117,126.36,51476,-2,4.14
META,216.75,212.77,-1.2193,213.48,0.4419,213.07,513000,0,-2.5
ENPH,226.26,219.31,0.2319,220.5,0.5575,224.79,37479,0,1.54
AMZN,105.24,103.21,-0.4698,103.53,0.7877,103.81,588848,10,-1.3
INTC,31.25,30.71,-0.931,30.76,0.5128,30.86,131291,-2,-2.63
CVNA,8.51,7.91,-7.3001,8.3,0.3562,8.0,23278,0,-7.97
AMD,91.575,88.75,0.189,88.825,0.7047,90.11,456931,2,-0.41
AMC,5.02,4.89,-2.549,5.0,0.2431,4.97,413196,1,0.1
NVDA,280.3,270.0,-2.9609,276.71,0.791,271.04,422014,1,1.57
SONY,92.275,90.915,0.4507,90.97,0.7099,91.38,2090,0,0.0
GOOGL,106.25,103.8684,1.0655,103.91,0.5805,105.29,160588,0,-0.82
SOFI,6.045,5.88,-2.6316,5.98,0.5018,5.92,91966,0,-0.21
TSLA,169.55,160.56,-9.7458,166.165,1.261,162.99,892550,21,-6.2
JPM,141.4299,140.17,-0.2903,139.91,0.5739,140.81,82975,0,-1.35
MSFT,289.03,285.08,-0.8112,285.25,0.5981,286.11,443702,0,-2.88
