percentchange,symbol,low,open,price,high,relvolume,watchers,hourchange,sentiment
-0.62,NOC,469.59,475.72,471.24,474.875,0.2287,8044,0,-3.33
-0.0192,MSFT,283.0608,285.01,286.0551,286.16,0.4392,443718,1,-0.92
-0.2582,NVDA,267.2301,269.52,270.3401,271.44,0.5163,422044,1,-0.09
0.6895,ENPH,219.9,223.75,226.34,226.77,0.3343,37485,3,3.89
-0.0469,META,209.76,210.21,212.97,213.09,0.4194,513008,-4,-2.9
1.5266,TSLA,161.33,164.8,165.4782,166.0,0.6067,892711,19,-1.2
-0.9301,AAPL,164.5,165.05,165.1,166.45,0.5819,16,0,-2.86
-0.0994,JPM,138.78,139.74,140.67,140.755,0.461,82977,0,-5.1
0.33,EA,129.0,129.05,129.225,130.12,0.2887,20703,-1,0.0
-0.44,IBM,125.27,126.0,125.804,126.69,0.8247,51485,0,-0.26
3.9784,AMZN,105.08,106.1,107.94,108.04,0.9679,588911,8,-1.48
0.1662,GOOGL,104.79,105.47,105.465,106.0,0.3948,160600,1,0.58
1.0221,SONY,91.61,91.87,92.314,92.38,0.5389,2089,0,0.0
-1.444,AMD,88.43,89.8,88.8088,89.72,0.4738,456940,0,0.71
-1.442,INTC,30.225,30.84,30.415,30.79,0.3134,131291,0,0.72
3.0,CVNA,7.735,7.97,8.24,8.29,0.1737,23270,-2,-7.12
0.5912,SOFI,5.85,5.9,5.955,5.99,0.3275,91965,0,-0.7
-0.1087,AMC,4.91,4.94,4.9646,5.07,0.259,413190,0,-0.91
