relvolume,open,price,percentchange,symbol,high,low,watchers,hourchange,sentiment
0.2579,475.72,469.83,-0.9174,NOC,474.875,469.59,8044,0,-4.62
0.4769,285.01,285.7,-0.1433,MSFT,286.26,283.0608,443714,-4,0.44
0.5481,269.52,269.96,-0.3985,NVDA,271.44,267.2301,422043,-1,1.57
0.3699,223.75,224.81,0.0089,ENPH,226.77,219.9,37483,-2,3.33
0.4486,210.21,212.79,-0.1314,META,213.41,209.76,512999,-9,-1.34
0.653,164.8,165.24,1.3805,TSLA,166.0,161.33,892714,3,-0.69
0.6355,165.05,165.03,-0.9721,AAPL,166.45,164.5,14,-2,-2.48
0.4985,139.74,140.76,-0.0355,JPM,140.79,138.78,82978,1,-4.38
0.322,129.05,129.025,0.1747,EA,130.12,128.945,20703,0,0.0
0.8638,126.0,125.6577,-0.5558,IBM,126.69,125.27,51486,1,-0.13
1.0525,106.1,107.66,3.7087,AMZN,108.15,105.08,588920,9,-0.56
0.428,105.47,105.24,-0.0475,GOOGL,106.0,104.79,160601,1,0.1
0.5771,91.87,92.19,0.8864,SONY,92.38,91.61,2089,0,0.0
0.5094,89.8,88.62,-1.6535,AMD,89.72,88.43,456940,0,0.73
0.3594,30.84,30.32,-1.7498,INTC,30.79,30.225,131291,0,-1.05
0.1893,7.97,8.17,2.125,CVNA,8.29,7.735,23260,-10,-2.84
0.3516,5.9,5.955,0.5912,SOFI,5.99,5.85,91959,-6,-0.52
0.2785,4.94,4.9747,0.0946,AMC,5.07,4.91,413185,-5,-0.85
