symbol,high,relvolume,price,low,open,percentchange,watchers,hourchange,sentiment
NOC,474.875,0.2937,468.9462,468.88,475.72,-1.1038,8044,0,-4.62
MSFT,286.26,0.5019,285.28,283.0608,285.01,-0.2901,443714,0,0.44
NVDA,271.44,0.5735,269.93,267.2301,269.52,-0.4095,422041,-2,1.57
ENPH,226.77,0.3989,225.39,219.9,223.75,0.2669,37486,3,3.16
META,213.41,0.4683,212.46,209.76,210.21,-0.2863,513000,1,0.2
TSLA,166.0,0.6832,165.17,161.33,164.8,1.3375,892724,10,0.22
AAPL,166.45,0.6672,164.725,164.5,165.05,-1.1551,15,1,-1.99
JPM,140.93,0.5453,140.83,138.78,139.74,0.0142,82974,-4,-2.64
EA,130.12,0.358,128.97,128.83,129.05,0.132,20703,0,0.0
IBM,126.69,0.9005,125.35,125.27,126.0,-0.7993,51490,4,-0.13
AMZN,108.15,1.1248,107.055,105.08,106.1,3.1259,588920,0,0.33
GOOGL,106.0,0.4524,105.01,104.79,105.47,-0.2659,160602,1,0.24
SONY,92.38,0.6174,92.07,91.61,91.87,0.7551,2089,0,0.0
AMD,89.72,0.5437,88.42,88.32,89.8,-1.8755,456943,3,1.92
INTC,30.79,0.3834,30.3224,30.225,30.84,-1.7421,131284,-7,-1.05
CVNA,8.29,0.2018,8.105,7.735,7.97,1.3125,23257,-3,-2.84
SOFI,5.99,0.3711,5.9292,5.85,5.9,0.1554,91960,1,-0.39
AMC,5.07,0.29,4.965,4.91,4.94,-0.1006,413185,0,-0.6
