percentchange,price,symbol,open,low,relvolume,high,watchers,hourchange,sentiment
-0.7149,470.79,NOC,475.72,468.84,0.3306,474.875,8044,0,-4.62
-0.1713,285.62,MSFT,285.01,283.0608,0.5299,286.26,443714,0,0.44
-0.3505,270.0899,NVDA,269.52,267.2301,0.5961,271.44,422041,-2,1.57
-0.129,224.5,ENPH,223.75,219.9,0.4326,226.77,37486,3,3.16
-0.2347,212.57,META,210.21,209.76,0.4954,213.41,513000,1,0.2
1.3191,165.14,TSLA,164.8,161.33,0.7067,166.0,892724,10,0.22
-1.0681,164.87,AAPL,165.05,164.5,0.7153,166.45,15,1,-1.99
0.0639,140.9,JPM,139.74,138.78,0.6037,141.11,82974,-4,-2.64
0.2057,129.065,EA,129.05,128.83,0.3937,130.12,20703,0,0.0
-0.7756,125.38,IBM,126.0,125.27,0.9471,126.69,51490,4,-0.13
2.9557,106.8783,AMZN,106.1,105.08,1.1825,108.15,588920,0,0.33
-0.1662,105.115,GOOGL,105.47,104.79,0.4759,106.0,160602,1,0.24
0.7879,92.1,SONY,91.87,91.61,0.6497,92.38,2089,0,0.0
-1.9984,88.3092,AMD,89.8,88.26,0.5733,89.72,456943,3,1.92
-1.9443,30.26,INTC,30.84,30.225,0.4061,30.79,131284,-7,-1.05
1.125,8.09,CVNA,7.97,7.735,0.2131,8.29,23257,-3,-2.84
0.0845,5.925,SOFI,5.9,5.85,0.3891,5.99,91960,1,-0.39
-0.3018,4.955,AMC,4.94,4.91,0.3058,5.07,413185,0,-0.6
