price,high,percentchange,symbol,relvolume,low,open,watchers,hourchange,sentiment
30.309,30.79,-1.7855,INTC,0.5032,30.225,30.84,131284,-7,-1.05
140.59,141.11,-0.1562,JPM,0.6957,138.78,139.74,82974,-4,-2.64
129.09,130.12,0.2252,EA,0.504,128.695,129.05,20703,0,0.0
125.73,126.69,-0.4986,IBM,1.0535,125.27,126.0,51490,4,-0.13
285.7,286.26,-0.1433,MSFT,0.5756,283.0608,285.01,443714,0,0.44
212.87,213.41,-0.0939,META,0.5292,209.76,210.21,513000,1,0.2
271.26,271.83,0.0812,NVDA,0.644,267.2301,269.52,422041,-2,1.57
106.95,108.15,3.0248,AMZN,1.2806,105.08,106.1,588920,0,0.33
164.99,166.45,-0.9961,AAPL,0.7882,164.5,165.05,15,1,-1.99
88.4,89.72,-1.8977,AMD,0.6306,88.055,89.8,456943,3,1.92
165.01,166.0,1.2393,TSLA,0.7409,161.33,164.8,892724,10,0.22
105.42,106.0,0.1235,GOOGL,0.5543,104.79,105.47,160602,1,0.24
8.145,8.29,1.8125,CVNA,0.2397,7.735,7.97,23257,-3,-2.84
92.06,92.38,0.7441,SONY,0.7484,91.61,91.87,2089,0,0.0
223.6,226.77,-0.5294,ENPH,0.5057,219.9,223.75,37486,3,3.16
5.945,5.99,0.4223,SOFI,0.4494,5.85,5.9,91960,1,-0.39
471.895,474.875,-0.4819,NOC,0.6011,468.84,475.72,8044,0,-4.62
4.965,5.07,-0.1006,AMC,0.3518,4.91,4.94,413185,0,-0.6
