high,percentchange,relvolume,low,symbol,price,open,watchers,hourchange,sentiment
141.11,-0.1917,0.6957,138.78,JPM,140.54,139.74,82974,0,-2.83
286.26,-0.1223,0.5756,283.0608,MSFT,285.76,285.01,443718,4,-1.27
126.69,-0.4986,1.0535,125.27,IBM,125.73,126.0,51487,-3,0.74
130.12,0.2407,0.504,128.695,EA,129.11,129.05,20702,-1,10.0
271.83,0.0553,0.644,267.2301,NVDA,271.19,269.52,422037,-4,1.72
213.41,-0.0845,0.5292,209.76,META,212.89,210.21,513002,2,-0.15
89.72,-1.8644,0.6306,88.055,AMD,88.43,89.8,456942,-1,2.24
166.45,-0.9781,0.7882,164.5,AAPL,165.02,165.05,15,0,-1.49
108.15,3.0344,1.2806,105.08,AMZN,106.96,106.1,588924,4,1.05
166.0,1.2823,0.7409,161.33,TSLA,165.08,164.8,892732,8,0.93
92.38,0.7332,0.7484,91.61,SONY,92.05,91.87,2089,0,0.0
8.29,1.75,0.2397,7.735,CVNA,8.14,7.97,23257,0,-3.02
226.77,-0.5249,0.5057,219.9,ENPH,223.61,223.75,37487,1,2.78
106.0,0.114,0.5543,104.79,GOOGL,105.41,105.47,160605,3,0.21
5.99,0.3378,0.4494,5.85,SOFI,5.94,5.9,91960,0,-0.12
474.875,-0.4618,0.6011,468.84,NOC,471.99,475.72,8044,0,1.43
5.07,0.4024,0.3518,4.91,AMC,4.99,4.94,413184,-1,-0.18
30.79,-1.8146,0.5032,30.225,INTC,30.3,30.84,131284,0,-0.42
