low,percentchange,price,high,open,relvolume,symbol,watchers,hourchange,sentiment
4.91,0.4024,4.99,5.07,4.94,0.3518,AMC,413185,1,0.07
30.225,-1.8146,30.3,30.79,30.84,0.5032,INTC,131286,2,-0.42
138.78,-0.1917,140.54,141.11,139.74,0.6957,JPM,82974,0,-3.43
128.695,0.2407,129.11,130.12,129.05,0.504,EA,20702,0,10.0
283.0608,-0.1223,285.76,286.26,285.01,0.5756,MSFT,443721,3,-1.27
125.27,-0.4986,125.73,126.69,126.0,1.0535,IBM,51487,0,0.74
267.2301,0.0553,271.19,271.83,269.52,0.644,NVDA,422037,0,1.72
209.76,-0.0845,212.89,213.41,210.21,0.5292,META,513002,0,0.61
164.5,-0.9781,165.02,166.45,165.05,0.7882,AAPL,12,-3,-1.21
88.055,-1.8644,88.43,89.72,89.8,0.6306,AMD,456942,0,1.61
105.08,3.0344,106.96,108.15,106.1,1.2806,AMZN,588936,12,0.78
161.33,1.2823,165.08,166.0,164.8,0.7409,TSLA,892738,6,0.93
91.61,0.7332,92.05,92.38,91.87,0.7484,SONY,2089,0,0.0
7.735,1.75,8.14,8.29,7.97,0.2397,CVNA,23257,0,-1.24
219.9,-0.5249,223.61,226.77,223.75,0.5057,ENPH,37487,0,2.04
104.79,0.114,105.41,106.0,105.47,0.5543,GOOGL,160607,2,-0.36
5.85,0.3378,5.94,5.99,5.9,0.4494,SOFI,91960,0,0.0
468.84,-0.4618,471.99,474.875,475.72,0.6011,NOC,8044,0,1.43
