symbol,relvolume,percentchange,open,price,low,high,watchers,hourchange,sentiment
TSLA,0.7409,1.2823,164.8,165.08,161.33,166.0,892738,6,0.93
SONY,0.7484,0.7332,91.87,92.05,91.61,92.38,2089,0,0.0
GOOGL,0.5543,0.114,105.47,105.41,104.79,106.0,160607,2,-0.36
ENPH,0.5057,-0.5249,223.75,223.61,219.9,226.77,37487,0,2.04
CVNA,0.2397,1.75,7.97,8.14,7.735,8.29,23257,0,-1.24
SOFI,0.4494,0.3378,5.9,5.94,5.85,5.99,91960,0,0.0
NOC,0.6011,-0.4618,475.72,471.99,468.84,474.875,8044,0,1.43
AMC,0.3518,0.4024,4.94,4.99,4.91,5.07,413185,1,0.07
INTC,0.5032,-1.8146,30.84,30.3,30.225,30.79,131286,2,-0.42
JPM,0.6957,-0.1917,139.74,140.54,138.78,141.11,82974,0,-3.43
EA,0.504,0.2407,129.05,129.11,128.695,130.12,20702,0,10.0
MSFT,0.5756,-0.1223,285.01,285.76,283.0608,286.26,443721,3,-1.27
IBM,1.0535,-0.4986,126.0,125.73,125.27,126.69,51487,0,0.74
NVDA,0.644,0.0553,269.52,271.19,267.2301,271.83,422037,0,1.72
META,0.5292,-0.0845,210.21,212.89,209.76,213.41,513002,0,0.61
AAPL,0.7882,-0.9781,165.05,165.02,164.5,166.45,12,-3,-1.21
AMD,0.6306,-1.8644,89.8,88.43,88.055,89.72,456942,0,1.61
AMZN,1.2806,3.0344,106.1,106.96,105.08,108.15,588936,12,0.78
