low,relvolume,high,price,open,percentchange,symbol,watchers,hourchange,sentiment
283.0608,0.5756,286.26,285.76,285.01,-0.1223,MSFT,443721,3,-1.27
125.27,1.0535,126.69,125.73,126.0,-0.4986,IBM,51487,0,0.74
267.2301,0.644,271.83,271.19,269.52,0.0553,NVDA,422037,0,1.72
164.5,0.7882,166.45,165.02,165.05,-0.9781,AAPL,12,-3,-1.21
209.76,0.5292,213.41,212.89,210.21,-0.0845,META,513002,0,0.61
88.055,0.6306,89.72,88.43,89.8,-1.8644,AMD,456942,0,1.61
105.08,1.2806,108.15,106.96,106.1,3.0344,AMZN,588936,12,0.78
161.33,0.7409,166.0,165.08,164.8,1.2823,TSLA,892738,6,0.93
104.79,0.5543,106.0,105.41,105.47,0.114,GOOGL,160607,2,-0.36
219.9,0.5057,226.77,223.61,223.75,-0.5249,ENPH,37487,0,2.04
91.61,0.7484,92.38,92.05,91.87,0.7332,SONY,2089,0,0.0
7.735,0.2397,8.29,8.14,7.97,1.75,CVNA,23257,0,-1.24
5.85,0.4494,5.99,5.94,5.9,0.3378,SOFI,91960,0,0.0
468.84,0.6011,474.875,471.99,475.72,-0.4618,NOC,8044,0,1.43
4.91,0.3518,5.07,4.99,4.94,0.4024,AMC,413185,1,0.07
30.225,0.5032,30.79,30.3,30.84,-1.8146,INTC,131286,2,-0.42
138.78,0.6957,141.11,140.54,139.74,-0.1917,JPM,82974,0,-3.43
128.695,0.504,130.12,129.11,129.05,0.2407,EA,20702,0,10.0
