price,low,percentchange,high,open,symbol,relvolume,watchers,hourchange,sentiment
140.54,138.78,-0.1917,141.11,139.74,JPM,0.6957,82969,-4,-3.66
30.3,30.225,-1.8146,30.79,30.84,INTC,0.5032,131265,-19,0.27
129.11,128.695,0.2407,130.12,129.05,EA,0.504,20700,-2,25.0
125.73,125.27,-0.4986,126.69,126.0,IBM,1.0535,51479,-8,1.87
271.19,267.2301,0.0553,271.83,269.52,NVDA,0.644,422022,-18,1.04
165.02,164.5,-0.9781,166.45,165.05,AAPL,0.7882,878259,-48,-1.95
285.76,283.0608,-0.1223,286.26,285.01,MSFT,0.5756,443705,-9,-1.79
212.89,209.76,-0.0845,213.41,210.21,META,0.5292,512981,-27,-1.62
106.96,105.08,3.0344,108.15,106.1,AMZN,1.2806,588936,-11,0.01
88.43,88.055,-1.8644,89.72,89.8,AMD,0.6306,456920,-26,0.24
8.14,7.735,1.75,8.29,7.97,CVNA,0.2397,23240,-16,-1.6
165.08,161.33,1.2823,166.0,164.8,TSLA,0.7409,892723,-18,1.11
105.41,104.79,0.114,106.0,105.47,GOOGL,0.5543,160602,-7,-1.75
92.05,91.61,0.7332,92.38,91.87,SONY,0.7484,2089,0,0.0
223.61,219.9,-0.5249,226.77,223.75,ENPH,0.5057,37487,-3,2.0
5.94,5.85,0.3378,5.99,5.9,SOFI,0.4494,91955,-9,0.06
471.99,468.84,-0.4618,474.875,475.72,NOC,0.6011,8043,-1,7.14
4.99,4.91,0.4024,5.07,4.94,AMC,0.3518,413114,-75,0.72
