high,open,percentchange,price,low,relvolume,symbol,watchers,hourchange,sentiment
141.11,139.74,-0.1917,140.54,138.78,0.6957,JPM,82969,0,-3.66
30.79,30.84,-1.8146,30.3,30.225,0.5032,INTC,131265,0,0.27
130.12,129.05,0.2407,129.11,128.695,0.504,EA,20700,0,25.0
126.69,126.0,-0.4986,125.73,125.27,1.0535,IBM,51479,0,1.87
271.83,269.52,0.0553,271.19,267.2301,0.644,NVDA,422022,0,1.01
166.45,165.05,-0.9781,165.02,164.5,0.7882,AAPL,878262,3,-1.71
286.26,285.01,-0.1223,285.76,283.0608,0.5756,MSFT,443705,0,-2.57
213.41,210.21,-0.0845,212.89,209.76,0.5292,META,512981,0,-1.62
108.15,106.1,3.0344,106.96,105.08,1.2806,AMZN,588921,-15,0.01
89.72,89.8,-1.8644,88.43,88.055,0.6306,AMD,456922,2,0.04
8.29,7.97,1.75,8.14,7.735,0.2397,CVNA,23240,0,-0.51
166.0,164.8,1.2823,165.08,161.33,0.7409,TSLA,892727,4,1.11
106.0,105.47,0.114,105.41,104.79,0.5543,GOOGL,160602,0,-1.75
92.38,91.87,0.7332,92.05,91.61,0.7484,SONY,2089,0,0.0
226.77,223.75,-0.5249,223.61,219.9,0.5057,ENPH,37487,0,2.0
5.99,5.9,0.3378,5.94,5.85,0.4494,SOFI,91955,0,0.06
474.875,475.72,-0.4618,471.99,468.84,0.6011,NOC,8043,0,7.14
5.07,4.94,0.4024,4.99,4.91,0.3518,AMC,413114,0,0.84
