,relvolume,percentchange,price,open,high,low,watchers,hourchange,sentiment
0,1.3328,2.767,100.28,100.05,102.43,98.675,456153,4,-3.58
1,1.3328,2.767,100.28,100.05,102.43,98.675,456158,5,-3.56
2,1.3328,2.767,100.28,100.05,102.43,98.675,456158,5,-3.56
3,1.3328,2.767,100.28,100.05,102.43,98.675,456158,5,-3.56
4,1.3328,2.767,100.28,100.05,102.43,98.675,456158,5,-3.56
5,0.7883,-2.7274,97.545,99.18,99.52,96.74,456190,2,-3.71
6,0.7987,-2.7772,97.495,99.18,99.52,96.74,456190,2,-3.71
7,0.8129,-2.7024,97.57,99.18,99.52,96.74,456186,-4,-3.44
8,0.8246,-2.7822,97.49,99.18,99.52,96.74,456186,-4,-3.44
9,0.8379,-2.5628,97.71,99.18,99.52,96.74,456186,-4,-3.44
10,0.8607,-2.3434,97.93,99.18,99.52,96.74,456186,-4,-3.44
11,0.8772,-2.4033,97.87,99.18,99.52,96.74,456186,-4,-3.44
12,0.8969,-2.6526,97.62,99.18,99.52,96.74,456186,-4,-3.44
13,0.9142,-2.1939,98.08,99.18,99.52,96.74,456188,2,-3.33
14,0.9369,-2.3235,97.95,99.18,99.52,96.74,456188,2,-3.33
15,0.9582,-2.4781,97.795,99.18,99.52,96.74,456188,2,-3.33
16,0.9794,-2.4731,97.8,99.18,99.52,96.74,456188,2,-3.33
17,1.0179,-2.2637,98.01,99.18,99.52,96.74,456188,2,-3.33
18,1.0179,-2.2637,98.01,99.18,99.52,96.74,456188,2,-3.33
19,1.0179,-2.2637,98.01,99.18,99.52,96.74,456183,-5,-3.28
20,1.0179,-2.2637,98.01,99.18,99.52,96.74,456183,-5,-3.28
21,1.0179,-2.3235,97.95,99.18,99.52,96.74,456183,-5,-3.28
22,1.0179,-2.3235,97.95,99.18,99.52,96.74,456183,-5,-3.28
23,1.0179,-2.3235,97.95,99.18,99.52,96.74,456183,-5,-3.28
24,1.0179,-2.3235,97.95,99.18,99.52,96.74,456183,-5,-3.28
25,1.0179,-2.3235,97.95,99.18,99.52,96.74,456182,-1,-3.01
26,1.0179,-2.3235,97.95,99.18,99.52,96.74,456182,-1,-3.01
27,1.0179,-2.3235,97.95,99.18,99.52,96.74,456182,-1,-3.01
28,1.0179,-2.3235,97.95,99.18,99.52,96.74,456182,-1,-3.01
29,1.0179,-2.3235,97.95,99.18,99.52,96.74,456182,-1,-3.01
30,1.0179,-2.3235,97.95,99.18,99.52,96.74,456182,-1,-3.01
31,1.0179,-2.3235,97.95,99.18,99.52,96.74,456182,0,-2.72
32,1.0179,-2.3235,97.95,99.18,99.52,96.74,456182,0,-2.72
33,1.0179,-2.3235,97.95,99.18,99.52,96.74,456182,0,-2.72
34,1.0179,-2.3235,97.95,99.18,99.52,96.74,456182,0,-2.72
35,1.0179,-2.3235,97.95,99.18,99.52,96.74,456182,0,-2.72
36,1.0179,-2.3235,97.95,99.18,99.52,96.74,456182,0,-2.72
37,1.0179,-2.3235,97.95,99.18,99.52,96.74,456181,-1,-2.55
38,1.0179,-2.3235,97.95,99.18,99.52,96.74,456181,-1,-2.55
39,1.0179,-2.3235,97.95,99.18,99.52,96.74,456181,-1,-2.55
40,1.0179,-2.3235,97.95,99.18,99.52,96.74,456181,-1,-2.55
41,1.0179,-2.3235,97.95,99.18,99.52,96.74,456181,-1,-2.55
42,1.0179,-2.3235,97.95,99.18,99.52,96.74,456181,-1,-2.55
43,1.0179,-2.3235,97.95,99.18,99.52,96.74,456184,3,-2.45
44,1.0179,-2.3235,97.95,99.18,99.52,96.74,456184,3,-2.45
45,1.0179,-2.3235,97.95,99.18,99.52,96.74,456184,3,-2.45
46,1.0179,-2.3235,97.95,99.18,99.52,96.74,456184,3,-2.45
47,1.0179,-2.3235,97.95,99.18,99.52,96.74,456184,3,-2.45
48,1.0179,-2.3235,97.95,99.18,99.52,96.74,456184,3,-2.45
49,1.0179,-2.3235,97.95,99.18,99.52,96.74,456184,0,-2.61
50,1.0179,-2.3235,97.95,99.18,99.52,96.74,456184,0,-2.61
51,1.0179,-2.3235,97.95,99.18,99.52,96.74,456184,0,-2.61
52,1.0179,-2.3235,97.95,99.18,99.52,96.74,456184,0,-2.61
53,1.0179,-2.3235,97.95,99.18,99.52,96.74,456184,0,-2.61
54,1.0179,-2.3235,97.95,99.18,99.52,96.74,456184,0,-2.61
55,1.0179,-2.3235,97.95,99.18,99.52,96.74,456186,2,-2.47
56,1.0179,-2.3235,97.95,99.18,99.52,96.74,456186,2,-2.47
57,1.0179,-2.3235,97.95,99.18,99.52,96.74,456186,2,-2.47
58,1.0179,-2.3235,97.95,99.18,99.52,96.74,456186,2,-2.47
59,0.6462,-1.3377,96.6397,98.02,98.93,95.425,456266,3,-1.5
60,0.6607,-1.2741,96.702,98.02,98.93,95.425,456266,3,-1.5
61,0.6832,-0.929,97.04,98.02,98.93,95.425,456271,5,-1.6
62,0.6998,-0.9175,97.0513,98.02,98.93,95.425,456271,5,-1.6
63,0.7208,-0.6533,97.3101,98.02,98.93,95.425,456271,5,-1.6
64,0.7397,-0.6993,97.265,98.02,98.93,95.425,456271,5,-1.6
65,0.7551,-0.5921,97.37,98.02,98.93,95.425,456271,5,-1.6
66,0.7791,-0.7555,97.21,98.02,98.93,95.425,456271,5,-1.6
67,0.7956,-0.6636,97.3,98.02,98.93,95.425,456272,1,-1.67
68,0.8105,-0.8065,97.16,98.02,98.93,95.425,456272,1,-1.67
69,0.8291,-1.1179,96.855,98.02,98.93,95.425,456272,1,-1.67
70,0.8524,-1.2455,96.73,98.02,98.93,95.425,456272,1,-1.67
71,0.8904,-1.4395,96.54,98.02,98.93,95.425,456272,1,-1.67
72,0.8904,-1.4395,96.54,98.02,98.93,95.425,456272,1,-1.67
73,0.8904,-1.4395,96.54,98.02,98.93,95.425,456276,4,-2.21
74,0.8904,-1.4395,96.54,98.02,98.93,95.425,456276,4,-2.21
75,0.8904,-1.368,96.61,98.02,98.93,95.425,456276,4,-2.21
76,0.8904,-1.368,96.61,98.02,98.93,95.425,456276,4,-2.21
77,0.8904,-1.368,96.61,98.02,98.93,95.425,456276,4,-2.21
78,0.8904,-1.368,96.61,98.02,98.93,95.425,456276,4,-2.21
79,0.8904,-1.368,96.61,98.02,98.93,95.425,456277,1,-2.21
80,0.8904,-1.368,96.61,98.02,98.93,95.425,456277,1,-2.21
81,0.8904,-1.368,96.61,98.02,98.93,95.425,456277,1,-2.21
82,0.8904,-1.368,96.61,98.02,98.93,95.425,456277,1,-2.21
83,0.8904,-1.368,96.61,98.02,98.93,95.425,456277,1,-2.21
84,0.8904,-1.368,96.61,98.02,98.93,95.425,456277,1,-2.21
85,0.8904,-1.368,96.61,98.02,98.93,95.425,456283,6,-2.21
86,0.8904,-1.368,96.61,98.02,98.93,95.425,456283,6,-2.21
87,0.8904,-1.368,96.61,98.02,98.93,95.425,456283,6,-2.21
88,0.8904,-1.368,96.61,98.02,98.93,95.425,456283,6,-2.21
89,0.8904,-1.368,96.61,98.02,98.93,95.425,456283,6,-2.21
90,0.8904,-1.368,96.61,98.02,98.93,95.425,456283,6,-2.21
91,0.8904,-1.368,96.61,98.02,98.93,95.425,456283,0,-2.23
92,0.8904,-1.368,96.61,98.02,98.93,95.425,456283,0,-2.23
93,0.8904,-1.368,96.61,98.02,98.93,95.425,456283,0,-2.23
94,0.8904,-1.368,96.61,98.02,98.93,95.425,456283,0,-2.23
