,percentchange,high,price,low,relvolume,open,watchers,hourchange,sentiment
0,-1.4909,103.29,101.75,101.58,0.3939,102.3,587671,3,0.69
1,-1.6652,103.29,101.57,101.542,0.4016,102.3,587671,3,0.69
2,-1.7039,103.29,101.53,101.43,0.4114,102.3,587674,3,1.02
3,-1.5308,103.29,101.7088,101.43,0.4214,102.3,587674,3,1.02
4,-1.336,103.29,101.91,101.43,0.4287,102.3,587674,3,1.02
5,-1.3069,103.29,101.9401,101.43,0.4359,102.3,587674,3,1.02
6,-1.3069,103.29,101.9401,101.43,0.4437,102.3,587674,3,1.02
7,-1.22,103.29,102.0299,101.43,0.453,102.3,587674,3,1.02
8,-1.1715,103.29,102.08,101.43,0.4619,102.3,587675,1,1.17
9,-1.0746,103.29,102.18,101.43,0.4727,102.3,587675,1,1.17
10,-0.973,103.29,102.285,101.43,0.4871,102.3,587675,1,1.17
11,-0.8665,103.29,102.395,101.43,0.5026,102.3,587675,1,1.17
12,-0.8617,103.29,102.4,101.43,0.5293,102.3,587675,1,1.17
13,-0.8617,103.29,102.4,101.43,0.5293,102.3,587675,1,1.17
14,-0.8617,103.29,102.4,101.43,0.5293,102.3,587676,1,0.9
15,-0.8617,103.29,102.4,101.43,0.5293,102.3,587676,1,0.9
16,-0.852,103.29,102.41,101.43,0.5293,102.3,587676,1,0.9
17,-0.852,103.29,102.41,101.43,0.5293,102.3,587676,1,0.9
18,-0.852,103.29,102.41,101.43,0.5293,102.3,587676,1,0.9
19,-0.852,103.29,102.41,101.43,0.5293,102.3,587676,1,0.9
20,-0.852,103.29,102.41,101.43,0.5293,102.3,587682,6,1.05
21,-0.852,103.29,102.41,101.43,0.5293,102.3,587682,6,1.05
22,-0.852,103.29,102.41,101.43,0.5293,102.3,587682,6,1.05
23,-0.852,103.29,102.41,101.43,0.5293,102.3,587682,6,1.05
24,-0.852,103.29,102.41,101.43,0.5293,102.3,587682,6,1.05
25,-0.852,103.29,102.41,101.43,0.5293,102.3,587682,6,1.05
26,-0.852,103.29,102.41,101.43,0.5293,102.3,587682,6,1.05
27,-0.852,103.29,102.41,101.43,0.5293,102.3,587686,4,0.96
28,-0.852,103.29,102.41,101.43,0.5293,102.3,587686,4,0.96
29,-0.852,103.29,102.41,101.43,0.5293,102.3,587686,4,0.96
30,-0.852,103.29,102.41,101.43,0.5293,102.3,587686,4,0.96
31,-0.852,103.29,102.41,101.43,0.5293,102.3,587686,4,0.96
32,-0.852,103.29,102.41,101.43,0.5293,102.3,587689,3,0.93
33,-0.852,103.29,102.41,101.43,0.5293,102.3,587689,3,0.93
34,-0.852,103.29,102.41,101.43,0.5293,102.3,587689,3,0.93
35,-0.852,103.29,102.41,101.43,0.5293,102.3,587689,3,0.93
36,-0.852,103.29,102.41,101.43,0.5293,102.3,587689,3,0.93
37,-0.852,103.29,102.41,101.43,0.5293,102.3,587689,3,0.93
38,-0.852,103.29,102.41,101.43,0.5293,102.3,587693,4,1.18
39,-0.852,103.29,102.41,101.43,0.5293,102.3,587693,4,1.18
40,-0.852,103.29,102.41,101.43,0.5293,102.3,587693,4,1.18
41,-0.852,103.29,102.41,101.43,0.5293,102.3,587693,4,1.18
42,-0.852,103.29,102.41,101.43,0.5293,102.3,587693,4,1.18
43,-0.852,103.29,102.41,101.43,0.5293,102.3,587693,4,1.18
44,-0.852,103.29,102.41,101.43,0.5293,102.3,587698,5,1.52
45,-0.852,103.29,102.41,101.43,0.5293,102.3,587698,5,1.52
