,relvolume,percentchange,price,open,high,low,watchers,hourchange,sentiment
0,0.901,2.1573,105.6,105.06,106.3,104.46,159700,4,-5.92
1,0.901,2.1573,105.6,105.06,106.3,104.46,159705,5,-6.07
2,0.901,2.1573,105.6,105.06,106.3,104.46,159705,5,-6.07
3,0.901,2.1573,105.6,105.06,106.3,104.46,159705,5,-6.07
4,0.901,2.1573,105.6,105.06,106.3,104.46,159705,5,-6.07
5,0.4512,-0.6818,104.88,104.99,105.36,103.84,159713,-2,-5.11
6,0.46,-0.8002,104.755,104.99,105.36,103.84,159713,-2,-5.11
7,0.4734,-0.5373,105.0326,104.99,105.36,103.84,159715,2,-5.41
8,0.4805,-0.6013,104.965,104.99,105.36,103.84,159715,2,-5.41
9,0.4908,-0.535,105.035,104.99,105.36,103.84,159715,2,-5.41
10,0.5006,-0.4498,105.125,104.99,105.36,103.84,159715,2,-5.41
11,0.5121,-0.5445,105.025,104.99,105.36,103.84,159715,2,-5.41
12,0.5238,-0.6352,104.9292,104.99,105.36,103.84,159715,2,-5.41
13,0.5362,-0.4261,105.15,104.99,105.36,103.84,159715,0,-4.66
14,0.5519,-0.2794,105.305,104.99,105.375,103.84,159715,0,-4.66
15,0.5657,-0.4167,105.16,104.99,105.385,103.84,159715,0,-4.66
16,0.5902,-0.303,105.28,104.99,105.385,103.84,159715,0,-4.66
17,0.6651,-0.1705,105.42,104.99,105.45,103.84,159715,0,-4.66
18,0.6651,-0.1705,105.42,104.99,105.45,103.84,159715,0,-4.66
19,0.6651,-0.1705,105.42,104.99,105.45,103.84,159717,2,-3.93
20,0.6651,-0.1705,105.42,104.99,105.45,103.84,159717,2,-3.93
21,0.6651,-0.1515,105.44,104.99,105.49,103.84,159717,2,-3.93
22,0.6651,-0.1515,105.44,104.99,105.49,103.84,159717,2,-3.93
23,0.6651,-0.1515,105.44,104.99,105.49,103.84,159717,2,-3.93
24,0.6651,-0.1515,105.44,104.99,105.49,103.84,159717,2,-3.93
25,0.6651,-0.1515,105.44,104.99,105.49,103.84,159716,-1,-3.03
26,0.6651,-0.1515,105.44,104.99,105.49,103.84,159716,-1,-3.03
27,0.6651,-0.1515,105.44,104.99,105.49,103.84,159716,-1,-3.03
28,0.6651,-0.1515,105.44,104.99,105.49,103.84,159716,-1,-3.03
29,0.6651,-0.1515,105.44,104.99,105.49,103.84,159716,-1,-3.03
30,0.6651,-0.1515,105.44,104.99,105.49,103.84,159716,-1,-3.03
31,0.6651,-0.1515,105.44,104.99,105.49,103.84,159719,3,-3.55
32,0.6651,-0.1515,105.44,104.99,105.49,103.84,159719,3,-3.55
33,0.6651,-0.1515,105.44,104.99,105.49,103.84,159719,3,-3.55
34,0.6651,-0.1515,105.44,104.99,105.49,103.84,159719,3,-3.55
35,0.6651,-0.1515,105.44,104.99,105.49,103.84,159719,3,-3.55
36,0.6651,-0.1515,105.44,104.99,105.49,103.84,159719,3,-3.55
37,0.6651,-0.1515,105.44,104.99,105.49,103.84,159720,1,-3.23
38,0.6651,-0.1515,105.44,104.99,105.49,103.84,159720,1,-3.23
39,0.6651,-0.1515,105.44,104.99,105.49,103.84,159720,1,-3.23
40,0.6651,-0.1515,105.44,104.99,105.49,103.84,159720,1,-3.23
41,0.6651,-0.1515,105.44,104.99,105.49,103.84,159720,1,-3.23
42,0.6651,-0.1515,105.44,104.99,105.49,103.84,159720,1,-3.23
43,0.6651,-0.1515,105.44,104.99,105.49,103.84,159720,0,-3.52
44,0.6651,-0.1515,105.44,104.99,105.49,103.84,159720,0,-3.52
45,0.6651,-0.1515,105.44,104.99,105.49,103.84,159720,0,-3.52
46,0.6651,-0.1515,105.44,104.99,105.49,103.84,159720,0,-3.52
47,0.6651,-0.1515,105.44,104.99,105.49,103.84,159720,0,-3.52
48,0.6651,-0.1515,105.44,104.99,105.49,103.84,159720,0,-3.52
49,0.6651,-0.1515,105.44,104.99,105.49,103.84,159720,0,-3.37
50,0.6651,-0.1515,105.44,104.99,105.49,103.84,159720,0,-3.37
51,0.6651,-0.1515,105.44,104.99,105.49,103.84,159720,0,-3.37
