,relvolume,percentchange,price,open,high,low,watchers,hourchange,sentiment
0,0.8506,3.1994,29.03,28.38,29.16,28.22,130862,0,-9.87
1,0.8506,3.1994,29.03,28.38,29.16,28.22,130859,-3,-10.24
2,0.8506,3.1994,29.03,28.38,29.16,28.22,130859,-3,-10.24
3,0.8506,3.1994,29.03,28.38,29.16,28.22,130859,-3,-10.24
4,0.8506,3.1994,29.03,28.38,29.16,28.22,130859,-3,-10.24
5,0.7507,0.9645,29.31,29.04,29.81,28.93,130870,0,-4.47
6,0.7612,0.9817,29.315,29.04,29.81,28.93,130870,0,-4.47
7,0.7924,0.7751,29.255,29.04,29.81,28.93,130870,0,-3.55
8,0.8028,0.6028,29.205,29.04,29.81,28.93,130870,0,-3.55
9,0.823,0.6717,29.225,29.04,29.81,28.93,130870,0,-3.55
10,0.8354,0.62,29.21,29.04,29.81,28.93,130870,0,-3.55
11,0.856,0.5735,29.1965,29.04,29.81,28.93,130870,0,-3.55
12,0.87,0.5167,29.18,29.04,29.81,28.93,130870,0,-3.55
13,0.892,1.0851,29.345,29.04,29.81,28.93,130869,-1,-1.71
14,0.913,0.999,29.32,29.04,29.81,28.93,130869,-1,-1.71
15,0.9368,0.9993,29.3201,29.04,29.81,28.93,130869,-1,-1.71
16,0.9595,1.0334,29.33,29.04,29.81,28.93,130869,-1,-1.71
17,1.0801,1.2332,29.388,29.04,29.81,28.93,130869,-1,-1.71
18,1.0801,1.2332,29.388,29.04,29.81,28.93,130869,-1,-1.71
19,1.0801,1.2332,29.388,29.04,29.81,28.93,130871,2,-1.12
20,1.0801,1.2332,29.388,29.04,29.81,28.93,130871,2,-1.12
21,1.0801,1.1368,29.36,29.04,29.81,28.93,130871,2,-1.12
22,1.0801,1.1368,29.36,29.04,29.81,28.93,130871,2,-1.12
23,1.0801,1.1368,29.36,29.04,29.81,28.93,130871,2,-1.12
24,1.0801,1.1368,29.36,29.04,29.81,28.93,130871,2,-1.12
25,1.0801,1.1368,29.36,29.04,29.81,28.93,130868,-3,0.39
26,1.0801,1.1368,29.36,29.04,29.81,28.93,130868,-3,0.39
27,1.0801,1.1368,29.36,29.04,29.81,28.93,130868,-3,0.39
28,1.0801,1.1368,29.36,29.04,29.81,28.93,130868,-3,0.39
29,1.0801,1.1368,29.36,29.04,29.81,28.93,130868,-3,0.39
30,1.0801,1.1368,29.36,29.04,29.81,28.93,130868,-3,0.39
31,1.0801,1.1368,29.36,29.04,29.81,28.93,130869,1,-1.05
32,1.0801,1.1368,29.36,29.04,29.81,28.93,130869,1,-1.05
33,1.0801,1.1368,29.36,29.04,29.81,28.93,130869,1,-1.05
34,1.0801,1.1368,29.36,29.04,29.81,28.93,130869,1,-1.05
35,1.0801,1.1368,29.36,29.04,29.81,28.93,130869,1,-1.05
36,1.0801,1.1368,29.36,29.04,29.81,28.93,130869,1,-1.05
37,1.0801,1.1368,29.36,29.04,29.81,28.93,130869,0,-2.08
38,1.0801,1.1368,29.36,29.04,29.81,28.93,130869,0,-2.08
39,1.0801,1.1368,29.36,29.04,29.81,28.93,130869,0,-2.08
40,1.0801,1.1368,29.36,29.04,29.81,28.93,130869,0,-2.08
41,1.0801,1.1368,29.36,29.04,29.81,28.93,130869,0,-2.08
42,1.0801,1.1368,29.36,29.04,29.81,28.93,130869,0,-2.08
43,1.0801,1.1368,29.36,29.04,29.81,28.93,130867,-2,-2.08
44,1.0801,1.1368,29.36,29.04,29.81,28.93,130867,-2,-2.08
45,1.0801,1.1368,29.36,29.04,29.81,28.93,130867,-2,-2.08
46,1.0801,1.1368,29.36,29.04,29.81,28.93,130867,-2,-2.08
47,1.0801,1.1368,29.36,29.04,29.81,28.93,130867,-2,-2.08
48,1.0801,1.1368,29.36,29.04,29.81,28.93,130867,-2,-2.08
49,1.0801,1.1368,29.36,29.04,29.81,28.93,130869,2,-2.26
50,1.0801,1.1368,29.36,29.04,29.81,28.93,130869,2,-2.26
51,1.0801,1.1368,29.36,29.04,29.81,28.93,130869,2,-2.26
52,1.0801,1.1368,29.36,29.04,29.81,28.93,130869,2,-2.26
53,1.0801,1.1368,29.36,29.04,29.81,28.93,130869,2,-2.26
54,1.0801,1.1368,29.36,29.04,29.81,28.93,130869,2,-2.26
55,1.0801,1.1368,29.36,29.04,29.81,28.93,130869,0,-2.05
56,1.0801,1.1368,29.36,29.04,29.81,28.93,130869,0,-2.05
57,1.0801,1.1368,29.36,29.04,29.81,28.93,130869,0,-2.05
58,1.0801,1.1368,29.36,29.04,29.81,28.93,130869,0,-2.05
59,0.412,0.2384,29.43,29.37,29.73,29.08,130888,3,1.2
60,0.4187,0.1362,29.4,29.37,29.73,29.08,130888,3,1.2
61,0.4386,0.4257,29.485,29.37,29.73,29.08,130888,0,1.01
62,0.4556,0.6131,29.54,29.37,29.73,29.08,130888,0,1.01
63,0.4666,0.7323,29.575,29.37,29.73,29.08,130888,0,1.01
64,0.476,0.7149,29.5699,29.37,29.73,29.08,130888,0,1.01
65,0.4847,0.7323,29.575,29.37,29.73,29.08,130888,0,1.01
66,0.4999,0.2214,29.425,29.37,29.73,29.08,130888,0,1.01
