,percentchange,high,price,low,relvolume,open,watchers,hourchange,sentiment
0,0.1224,33.56,32.71,32.54,0.7959,32.94,131144,1,-0.52
1,-0.0306,33.56,32.66,32.54,0.8063,32.94,131144,1,-0.52
2,0.1837,33.56,32.73,32.54,0.8228,32.94,131144,0,-0.59
3,0.3826,33.56,32.795,32.54,0.8389,32.94,131144,0,-0.59
4,0.5969,33.56,32.865,32.54,0.8578,32.94,131144,0,-0.59
5,0.4744,33.56,32.825,32.54,0.8767,32.94,131144,0,-0.59
6,0.5357,33.56,32.845,32.54,0.8902,32.94,131144,0,-0.59
7,0.6734,33.56,32.89,32.54,0.9044,32.94,131144,0,-0.59
8,0.6275,33.56,32.875,32.54,0.9215,32.94,131140,-4,-0.19
9,0.551,33.56,32.85,32.54,0.9421,32.94,131140,-4,-0.19
10,0.4132,33.56,32.805,32.54,0.965,32.94,131140,-4,-0.19
11,0.4438,33.56,32.815,32.54,0.9985,32.94,131140,-4,-0.19
12,0.7499,33.56,32.915,32.54,1.0724,32.94,131140,-4,-0.19
13,0.7499,33.56,32.915,32.54,1.0724,32.94,131140,-4,-0.19
14,0.7499,33.56,32.915,32.54,1.0724,32.94,131141,1,0.09
15,0.7499,33.56,32.915,32.54,1.0724,32.94,131141,1,0.09
16,0.6734,33.56,32.89,32.54,1.0724,32.94,131141,1,0.09
17,0.6734,33.56,32.89,32.54,1.0724,32.94,131141,1,0.09
18,0.6734,33.56,32.89,32.54,1.0724,32.94,131141,1,0.09
19,0.6734,33.56,32.89,32.54,1.0724,32.94,131141,1,0.09
20,0.6734,33.56,32.89,32.54,1.0724,32.94,131142,1,0.28
21,0.6734,33.56,32.89,32.54,1.0724,32.94,131142,1,0.28
22,0.6734,33.56,32.89,32.54,1.0724,32.94,131142,1,0.28
23,0.6734,33.56,32.89,32.54,1.0724,32.94,131142,1,0.28
24,0.6734,33.56,32.89,32.54,1.0724,32.94,131142,1,0.28
25,0.6734,33.56,32.89,32.54,1.0724,32.94,131142,1,0.28
26,0.6734,33.56,32.89,32.54,1.0724,32.94,131142,1,0.28
27,0.6734,33.56,32.89,32.54,1.0724,32.94,131144,2,0.27
28,0.6734,33.56,32.89,32.54,1.0724,32.94,131144,2,0.27
29,0.6734,33.56,32.89,32.54,1.0724,32.94,131144,2,0.27
30,0.6734,33.56,32.89,32.54,1.0724,32.94,131144,2,0.27
31,0.6734,33.56,32.89,32.54,1.0724,32.94,131144,2,0.27
32,0.6734,33.56,32.89,32.54,1.0724,32.94,131144,0,0.52
33,0.6734,33.56,32.89,32.54,1.0724,32.94,131144,0,0.52
34,0.6734,33.56,32.89,32.54,1.0724,32.94,131144,0,0.52
35,0.6734,33.56,32.89,32.54,1.0724,32.94,131144,0,0.52
36,0.6734,33.56,32.89,32.54,1.0724,32.94,131144,0,0.52
37,0.6734,33.56,32.89,32.54,1.0724,32.94,131144,0,0.52
38,0.6734,33.56,32.89,32.54,1.0724,32.94,131144,0,0.52
39,0.6734,33.56,32.89,32.54,1.0724,32.94,131144,0,0.52
40,0.6734,33.56,32.89,32.54,1.0724,32.94,131144,0,0.52
41,0.6734,33.56,32.89,32.54,1.0724,32.94,131144,0,0.52
42,0.6734,33.56,32.89,32.54,1.0724,32.94,131144,0,0.52
43,0.6734,33.56,32.89,32.54,1.0724,32.94,131144,0,0.52
44,0.6734,33.56,32.89,32.54,1.0724,32.94,131143,-1,0.34
45,0.6734,33.56,32.89,32.54,1.0724,32.94,131143,-1,0.34
46,0.6734,33.56,32.89,32.54,1.0724,32.94,131143,-1,0.34
47,0.6734,33.56,32.89,32.54,1.0724,32.94,131143,-1,0.34
48,0.6734,33.56,32.89,32.54,1.0724,32.94,131143,-1,0.34
49,0.6734,33.56,32.89,32.54,1.0724,32.94,131143,-1,0.34
50,0.6734,33.56,32.89,32.54,1.0724,32.94,131143,0,0.01
51,0.6734,33.56,32.89,32.54,1.0724,32.94,131143,0,0.01
52,0.6734,33.56,32.89,32.54,1.0724,32.94,131143,0,0.01
53,0.6734,33.56,32.89,32.54,1.0724,32.94,131143,0,0.01
54,0.8209,33.84,33.16,32.91,0.7437,32.85,131179,5,2.69
55,0.6689,33.84,33.11,32.91,0.7535,32.85,131179,5,2.69
56,0.7449,33.84,33.135,32.91,0.7654,32.85,131179,0,3.08
57,0.4409,33.84,33.035,32.91,0.8228,32.85,131179,0,3.08
58,0.7297,33.84,33.13,32.91,0.8414,32.85,131179,0,3.08
59,0.6689,33.84,33.11,32.91,0.8527,32.85,131179,0,3.08
60,0.4409,33.84,33.035,32.91,0.8684,32.85,131179,0,3.08
61,0.3192,33.84,32.995,32.91,0.8884,32.85,131179,0,3.08
62,0.228,33.84,32.965,32.91,0.9034,32.85,131182,3,2.71
63,0.2584,33.84,32.975,32.91,0.919,32.85,131182,3,2.71
64,0.2584,33.84,32.975,32.91,0.9457,32.85,131182,3,2.71
65,0.0152,33.84,32.895,32.85,0.9779,32.85,131182,3,2.71
66,0.6233,33.84,33.095,32.85,1.059,32.85,131182,3,2.71
67,0.6233,33.84,33.095,32.85,1.059,32.85,131182,3,2.71
68,0.6233,33.84,33.095,32.85,1.059,32.85,131182,0,2.99
69,0.6233,33.84,33.095,32.85,1.059,32.85,131182,0,2.99
70,0.6385,33.84,33.1,32.85,1.059,32.85,131182,0,2.99
71,0.6385,33.84,33.1,32.85,1.059,32.85,131182,0,2.99
72,0.6385,33.84,33.1,32.85,1.059,32.85,131182,0,2.99
73,0.6385,33.84,33.1,32.85,1.059,32.85,131182,0,2.99
74,0.6385,33.84,33.1,32.85,1.059,32.85,131182,0,2.87
75,0.6385,33.84,33.1,32.85,1.059,32.85,131182,0,2.87
76,0.6385,33.84,33.1,32.85,1.059,32.85,131182,0,2.87
77,0.6385,33.84,33.1,32.85,1.059,32.85,131182,0,2.87
78,0.6385,33.84,33.1,32.85,1.059,32.85,131182,0,2.87
79,0.6385,33.84,33.1,32.85,1.059,32.85,131182,0,2.87
80,0.6385,33.84,33.1,32.85,1.059,32.85,131182,0,2.54
81,0.6385,33.84,33.1,32.85,1.059,32.85,131182,0,2.54
82,0.6385,33.84,33.1,32.85,1.059,32.85,131182,0,2.54
83,0.6385,33.84,33.1,32.85,1.059,32.85,131182,0,2.54
84,0.6385,33.84,33.1,32.85,1.059,32.85,131182,0,2.54
85,0.6385,33.84,33.1,32.85,1.059,32.85,131182,0,2.54
