,price,percentchange,high,open,relvolume,low,watchers,hourchange,sentiment
0,130.75,1.9414,131.95,128.01,1.8493,126.02,81983,5,3.27
1,130.75,1.9414,131.95,128.01,1.8493,126.02,81983,5,3.27
2,130.75,1.9414,131.95,128.01,1.8493,126.02,81983,0,3.57
3,130.75,1.9414,131.95,128.01,1.8493,126.02,81983,0,3.57
4,130.75,1.9414,131.95,128.01,1.8493,126.02,81983,0,3.57
5,130.75,1.9414,131.95,128.01,1.8493,126.02,81983,0,3.57
6,130.75,1.9414,131.95,128.01,1.8493,126.02,81983,0,3.57
7,130.75,1.9414,131.95,128.01,1.8493,126.02,81984,1,3.96
8,130.75,1.9414,131.95,128.01,1.8493,126.02,81984,1,3.96
9,130.75,1.9414,131.95,128.01,1.8493,126.02,81984,1,3.96
10,130.75,1.9414,131.95,128.01,1.8493,126.02,81984,1,3.96
11,130.75,1.9414,131.95,128.01,1.8493,126.02,81984,1,3.96
12,130.75,1.9414,131.95,128.01,1.8493,126.02,81984,1,3.96
13,130.75,1.9414,131.95,128.01,1.8493,126.02,81986,2,3.98
14,130.75,1.9414,131.95,128.01,1.8493,126.02,81986,2,3.98
15,130.75,1.9414,131.95,128.01,1.8493,126.02,81986,2,3.98
16,130.75,1.9414,131.95,128.01,1.8493,126.02,81986,2,3.98
17,126.275,-3.4226,128.45,128.38,1.4579,125.66,82015,4,6.08
18,126.12,-3.5411,128.45,128.38,1.5004,125.66,82015,4,6.08
19,125.915,-3.6979,128.45,128.38,1.5332,125.66,82020,5,5.95
20,125.6232,-3.9211,128.45,128.38,1.5743,125.59,82020,5,5.95
21,125.69,-3.87,128.45,128.38,1.6113,125.58,82020,5,5.95
22,125.8,-3.7859,128.45,128.38,1.6469,125.58,82020,5,5.95
23,125.9,-3.7094,128.45,128.38,1.6986,125.46,82020,5,5.95
24,125.97,-3.6558,128.45,128.38,1.742,125.46,82020,5,5.95
25,125.89,-3.717,128.45,128.38,1.799,125.46,82027,7,4.98
26,125.9794,-3.6486,128.45,128.38,1.8492,125.46,82027,7,4.98
27,126.03,-3.6099,128.45,128.38,1.9111,125.46,82027,7,4.98
28,125.68,-3.8776,128.45,128.38,2.002,125.46,82027,7,4.98
29,125.785,-3.7973,128.45,128.38,2.2173,125.46,82027,7,4.98
30,125.785,-3.7973,128.45,128.38,2.2173,125.46,82027,7,4.98
31,125.785,-3.7973,128.45,128.38,2.2173,125.46,82027,0,4.98
32,125.785,-3.7973,128.45,128.38,2.2173,125.46,82027,0,4.98
33,125.81,-3.7782,128.48,128.38,2.2173,125.45,82027,0,4.98
34,125.81,-3.7782,128.48,128.38,2.2173,125.45,82027,0,4.98
35,125.81,-3.7782,128.48,128.38,2.2173,125.45,82027,0,4.98
36,125.81,-3.7782,128.48,128.38,2.2173,125.45,82027,0,4.98
37,125.81,-3.7782,128.48,128.38,2.2173,125.45,82027,0,4.98
38,125.81,-3.7782,128.48,128.38,2.2173,125.45,82032,5,4.47
39,125.81,-3.7782,128.48,128.38,2.2173,125.45,82032,5,4.47
40,125.81,-3.7782,128.48,128.38,2.2173,125.45,82032,5,4.47
41,125.81,-3.7782,128.48,128.38,2.2173,125.45,82032,5,4.47
42,125.81,-3.7782,128.45,128.38,2.2173,125.46,82032,5,4.47
