,relvolume,percentchange,price,open,high,low,watchers,hourchange,sentiment
0,0.8075,0.1894,444.44,444.01,446.06,440.81,8010,0,0.0
1,0.8075,0.1894,444.44,444.01,446.06,440.81,8010,0,0.0
2,0.8075,0.1894,444.44,444.01,446.06,440.81,8010,0,0.0
3,0.8075,0.1894,444.44,444.01,446.06,440.81,8010,0,0.0
4,0.8075,0.1894,444.44,444.01,446.06,440.81,8010,0,0.0
5,0.5034,2.223,454.32,445.08,454.72,443.105,8011,0,-5.0
6,0.5145,2.1128,453.83,445.08,454.72,443.105,8011,0,-5.0
7,0.5356,2.3265,454.78,445.08,455.23,443.105,8014,3,-5.0
8,0.5506,2.3299,454.795,445.08,455.26,443.105,8014,3,-5.0
9,0.5704,2.3693,454.97,445.08,455.26,443.105,8014,3,-5.0
10,0.5863,2.5054,455.575,445.08,455.73,443.105,8014,3,-5.0
11,0.6028,2.2995,454.66,445.08,455.73,443.105,8014,3,-5.0
12,0.6184,2.2635,454.5,445.08,455.73,443.105,8014,3,-5.0
13,0.6304,2.2523,454.45,445.08,455.73,443.105,8013,-1,-5.0
14,0.6462,2.4548,455.35,445.08,455.73,443.105,8013,-1,-5.0
15,0.6742,2.5155,455.62,445.08,456.2,443.105,8013,-1,-5.0
16,0.7071,2.362,454.9375,445.08,456.2,443.105,8013,-1,-5.0
17,0.7919,2.4143,455.17,445.08,456.2,443.105,8013,-1,-5.0
18,0.7919,2.4143,455.17,445.08,456.2,443.105,8013,-1,-5.0
19,0.7919,2.4143,455.17,445.08,456.2,443.105,8013,0,-6.06
20,0.7919,2.4143,455.17,445.08,456.2,443.105,8013,0,-6.06
21,0.7919,2.4323,455.25,445.08,456.2,443.0,8013,0,-6.06
22,0.7919,2.4323,455.25,445.08,456.2,443.0,8013,0,-6.06
23,0.7919,2.4323,455.25,445.08,456.2,443.0,8013,0,-6.06
24,0.7919,2.4323,455.25,445.08,456.2,443.105,8013,0,-6.06
25,0.7919,2.4323,455.25,445.08,456.2,443.105,8013,0,-10.23
26,0.7919,2.4323,455.25,445.08,456.2,443.105,8013,0,-10.23
27,0.7919,2.4323,455.25,445.08,456.2,443.105,8013,0,-10.23
28,0.7919,2.4323,455.25,445.08,456.2,443.105,8013,0,-10.23
29,0.7919,2.4323,455.25,445.08,456.2,443.105,8013,0,-10.23
30,0.7919,2.4323,455.25,445.08,456.2,443.105,8013,0,-10.23
31,0.7919,2.4323,455.25,445.08,456.2,443.105,8013,0,-10.23
32,0.7919,2.4323,455.25,445.08,456.2,443.105,8013,0,-10.23
33,0.7919,2.4323,455.25,445.08,456.2,443.105,8013,0,-10.23
34,0.7919,2.4323,455.25,445.08,456.2,443.105,8013,0,-10.23
35,0.7919,2.4323,455.25,445.08,456.2,443.105,8013,0,-10.23
36,0.7919,2.4323,455.25,445.08,456.2,443.105,8013,0,-10.23
37,0.7919,2.4323,455.25,445.08,456.2,443.105,8012,-1,-10.23
38,0.7919,2.4323,455.25,445.08,456.2,443.105,8012,-1,-10.23
