,percentchange,high,price,low,relvolume,open,watchers,hourchange,sentiment
0,-1.0404,279.91,274.88,273.36,0.5178,275.09,420815,1,0.1
1,-1.0908,279.91,274.74,273.36,0.5275,275.09,420815,1,0.1
2,-0.8208,279.91,275.49,273.36,0.5368,275.09,420819,4,0.31
3,-0.7812,279.91,275.6,273.36,0.5471,275.09,420819,4,0.31
4,-0.5328,279.91,276.29,273.36,0.5587,275.09,420819,4,0.31
5,-0.3816,279.91,276.71,273.36,0.5755,275.09,420819,4,0.31
6,-0.2016,279.91,277.21,273.36,0.5897,275.09,420819,4,0.31
7,0.018,279.91,277.82,273.36,0.6066,275.09,420819,4,0.31
8,0.0576,279.91,277.93,273.36,0.6258,275.09,420821,2,0.05
9,0.2052,279.91,278.34,273.36,0.6419,275.09,420821,2,0.05
10,0.45,279.91,279.02,273.36,0.666,275.09,420821,2,0.05
11,0.4472,279.91,279.0121,273.36,0.6914,275.09,420821,2,0.05
12,0.7056,280.0,279.73,273.36,0.736,275.09,420821,2,0.05
13,0.7056,280.0,279.73,273.36,0.736,275.09,420821,2,0.05
14,0.7056,280.0,279.73,273.36,0.736,275.09,420832,11,0.99
15,0.7056,280.0,279.73,273.36,0.736,275.09,420832,11,0.99
16,0.6768,280.0,279.65,273.36,0.736,275.09,420832,11,0.99
17,0.6768,280.0,279.65,273.36,0.736,275.09,420832,11,0.99
18,0.6768,280.0,279.65,273.36,0.736,275.09,420832,11,0.99
19,0.6768,280.0,279.65,273.36,0.736,275.09,420832,11,0.99
20,0.6768,280.0,279.65,273.36,0.736,275.09,420840,8,0.99
21,0.6768,280.0,279.65,273.36,0.736,275.09,420840,8,0.99
22,0.6768,280.0,279.65,273.36,0.736,275.09,420840,8,0.99
23,0.6768,280.0,279.65,273.36,0.736,275.09,420840,8,0.99
24,0.6768,280.0,279.65,273.36,0.736,275.09,420840,8,0.99
25,0.6768,280.0,279.65,273.36,0.736,275.09,420840,8,0.99
26,0.6768,280.0,279.65,273.36,0.736,275.09,420840,8,0.99
27,0.6768,280.0,279.65,273.36,0.736,275.09,420845,5,1.04
28,0.6768,280.0,279.65,273.36,0.736,275.09,420845,5,1.04
29,0.6768,280.0,279.65,273.36,0.736,275.09,420845,5,1.04
30,0.6768,280.0,279.65,273.36,0.736,275.09,420845,5,1.04
31,0.6768,280.0,279.65,273.36,0.736,275.09,420845,5,1.04
32,0.6768,280.0,279.65,273.36,0.736,275.09,420848,3,1.19
33,0.6768,280.0,279.65,273.36,0.736,275.09,420848,3,1.19
34,0.6768,280.0,279.65,273.36,0.736,275.09,420848,3,1.19
35,0.6768,280.0,279.65,273.36,0.736,275.09,420848,3,1.19
36,0.6768,280.0,279.65,273.36,0.736,275.09,420848,3,1.19
37,0.6768,280.0,279.65,273.36,0.736,275.09,420848,3,1.19
38,0.6768,280.0,279.65,273.36,0.736,275.09,420852,4,1.35
39,0.6768,280.0,279.65,273.36,0.736,275.09,420852,4,1.35
40,0.6768,280.0,279.65,273.36,0.736,275.09,420852,4,1.35
41,0.6768,280.0,279.65,273.36,0.736,275.09,420852,4,1.35
42,0.6768,280.0,279.65,273.36,0.736,275.09,420852,4,1.35
43,0.6768,280.0,279.65,273.36,0.736,275.09,420852,4,1.35
44,0.6768,280.0,279.65,273.36,0.736,275.09,420852,0,1.61
45,0.6768,280.0,279.65,273.36,0.736,275.09,420852,0,1.61
46,0.6768,280.0,279.65,273.36,0.736,275.09,420852,0,1.61
47,0.6768,280.0,279.65,273.36,0.736,275.09,420852,0,1.61
48,0.6768,280.0,279.65,273.36,0.736,275.09,420852,0,1.61
49,0.6768,280.0,279.65,273.36,0.736,275.09,420852,0,1.61
50,0.6768,280.0,279.65,273.36,0.736,275.09,420856,4,1.71
51,0.6768,280.0,279.65,273.36,0.736,275.09,420856,4,1.71
52,0.6768,280.0,279.65,273.36,0.736,275.09,420856,4,1.71
53,0.6768,280.0,279.65,273.36,0.736,275.09,420856,4,1.71
54,-0.9798,280.0,276.91,274.89,0.493,279.66,420911,4,2.23
55,-0.9798,280.0,276.91,274.89,0.5023,279.66,420911,4,2.23
56,-1.1014,280.0,276.57,274.89,0.5129,279.66,420921,10,2.45
57,-1.4447,280.0,275.61,274.89,0.5251,279.66,420921,10,2.45
58,-1.5841,280.0,275.22,274.89,0.5402,279.66,420921,10,2.45
59,-1.509,280.0,275.43,274.89,0.555,279.66,420921,10,2.45
60,-1.7542,280.0,274.7445,274.52,0.5719,279.66,420921,10,2.45
61,-1.7593,280.0,274.73,274.34,0.5861,279.66,420921,10,2.45
62,-1.813,280.0,274.58,274.34,0.5978,279.66,420925,4,2.36
63,-1.9989,280.0,274.06,273.985,0.6141,279.66,420925,4,2.36
64,-1.8414,280.0,274.5004,273.95,0.629,279.66,420925,4,2.36
65,-2.1297,280.0,273.6942,273.08,0.6531,279.66,420925,4,2.36
66,-1.8273,280.0,274.54,273.08,0.686,279.66,420925,4,2.36
67,-1.8273,280.0,274.54,273.08,0.686,279.66,420925,4,2.36
68,-1.8273,280.0,274.54,273.08,0.686,279.66,420931,6,1.79
69,-1.8273,280.0,274.54,273.08,0.686,279.66,420931,6,1.79
70,-1.8309,280.0,274.53,273.08,0.686,279.66,420931,6,1.79
71,-1.8309,280.0,274.53,273.08,0.686,279.66,420931,6,1.79
72,-1.8309,280.0,274.53,273.08,0.686,279.66,420931,6,1.79
73,-1.8309,280.0,274.53,273.08,0.686,279.66,420931,6,1.79
74,-1.8309,280.0,274.53,273.08,0.686,279.66,420931,0,0.86
75,-1.8309,280.0,274.53,273.08,0.686,279.66,420931,0,0.86
76,-1.8309,280.0,274.53,273.08,0.686,279.66,420931,0,0.86
77,-1.8309,280.0,274.53,273.08,0.686,279.66,420931,0,0.86
78,-1.8309,280.0,274.53,273.08,0.686,279.66,420931,0,0.86
79,-1.8309,280.0,274.53,273.08,0.686,279.66,420931,0,0.86
80,-1.8309,280.0,274.53,273.08,0.686,279.66,420940,9,0.55
81,-1.8309,280.0,274.53,273.08,0.686,279.66,420940,9,0.55
82,-1.8309,280.0,274.53,273.08,0.686,279.66,420940,9,0.55
83,-1.8309,280.0,274.53,273.08,0.686,279.66,420940,9,0.55
84,-1.8309,280.0,274.53,273.08,0.686,279.66,420940,9,0.55
85,-1.8309,280.0,274.53,273.08,0.686,279.66,420940,9,0.55
86,-1.8309,280.0,274.53,273.08,0.686,279.66,420951,11,0.52
87,-1.8309,280.0,274.53,273.08,0.686,279.66,420951,11,0.52
88,-1.8309,280.0,274.53,273.08,0.686,279.66,420951,11,0.52
89,-1.8309,280.0,274.53,273.08,0.686,279.66,420951,11,0.52
90,-1.8309,280.0,274.53,273.08,0.686,279.66,420951,11,0.52
91,-1.8309,280.0,274.53,273.08,0.686,279.66,420951,11,0.52
92,-1.8309,280.0,274.53,273.08,0.686,279.66,420956,5,0.16
93,-1.8309,280.0,274.53,273.08,0.686,279.66,420956,5,0.16
94,-1.8309,280.0,274.53,273.08,0.686,279.66,420956,5,0.16
95,-1.8309,280.0,274.53,273.08,0.686,279.66,420956,5,0.16
96,-1.8309,280.0,274.53,273.08,0.686,279.66,420956,5,0.16
97,-1.8309,280.0,274.53,273.08,0.686,279.66,420956,5,0.16
98,-1.8309,280.0,274.53,273.08,0.686,279.66,420958,2,0.13
99,-1.8309,280.0,274.53,273.08,0.686,279.66,420958,2,0.13
100,-1.8309,280.0,274.53,273.08,0.686,279.66,420958,2,0.13
101,-1.8309,280.0,274.53,273.08,0.686,279.66,420958,2,0.13
102,-1.8309,280.0,274.53,273.08,0.686,279.66,420958,2,0.13
103,-1.8309,280.0,274.53,273.08,0.686,279.66,420958,2,0.13
104,-1.8309,280.0,274.53,273.08,0.686,279.66,420963,5,0.05
105,-1.8309,280.0,274.53,273.08,0.686,279.66,420963,5,0.05
106,-1.8309,280.0,274.53,273.08,0.686,279.66,420963,5,0.05
107,-1.8309,280.0,274.53,273.08,0.686,279.66,420963,5,0.05
108,-3.0306,269.98,266.21,263.95,0.715,268.29,421032,17,-4.14
109,-2.7939,269.98,266.86,263.95,0.7344,268.29,421032,17,-4.14
110,-2.7866,269.98,266.88,263.95,0.7467,268.29,421035,3,-4.44
