,percentchange,high,price,low,relvolume,open,watchers,hourchange,sentiment
0,0.1544,91.01,90.79,90.455,0.6137,90.41,2089,0,0.0
1,0.2096,91.01,90.84,90.455,0.6769,90.41,2089,0,0.0
2,0.1743,91.01,90.808,90.455,0.6936,90.41,2089,0,0.0
3,0.1765,91.01,90.81,90.455,0.7176,90.41,2089,0,0.0
4,0.2978,91.01,90.92,90.455,0.7297,90.41,2089,0,0.0
5,0.2482,91.01,90.875,90.455,0.7454,90.41,2089,0,0.0
6,0.2603,91.01,90.886,90.455,0.7612,90.41,2089,0,0.0
7,0.3861,91.05,91.0,90.455,0.7827,90.41,2089,0,0.0
8,0.3696,91.05,90.985,90.455,0.796,90.41,2089,0,0.0
9,0.4633,91.09,91.07,90.455,0.818,90.41,2089,0,0.0
10,0.5019,91.13,91.105,90.455,0.8421,90.41,2089,0,0.0
11,0.6178,91.22,91.21,90.455,0.8824,90.41,2089,0,0.0
12,0.7722,91.38,91.35,90.455,1.0137,90.41,2089,0,0.0
13,0.7722,91.38,91.35,90.455,1.0137,90.41,2089,0,0.0
14,0.7722,91.38,91.35,90.455,1.0137,90.41,2088,-1,0.0
15,0.7722,91.38,91.35,90.455,1.0137,90.41,2088,-1,0.0
16,0.7501,91.38,91.33,90.455,1.0137,90.41,2088,-1,0.0
17,0.7501,91.38,91.33,90.455,1.0137,90.41,2088,-1,0.0
18,0.7501,91.38,91.33,90.455,1.0137,90.41,2088,-1,0.0
19,0.7501,91.38,91.33,90.455,1.0137,90.41,2088,-1,0.0
20,0.7501,91.38,91.33,90.455,1.0137,90.41,2088,0,0.0
21,0.7501,91.38,91.33,90.455,1.0137,90.41,2088,0,0.0
22,0.7501,91.38,91.33,90.41,1.0137,90.41,2088,0,0.0
23,0.7501,91.38,91.33,90.41,1.0137,90.41,2088,0,0.0
24,0.7501,91.38,91.33,90.41,1.0137,90.41,2088,0,0.0
25,0.7501,91.38,91.33,90.41,1.0137,90.41,2088,0,0.0
26,0.7501,91.38,91.33,90.41,1.0137,90.41,2088,0,0.0
27,0.7501,91.38,91.33,90.41,1.0137,90.41,2088,0,0.0
28,0.7501,91.38,91.33,90.41,1.0137,90.41,2088,0,0.0
29,0.7501,91.38,91.33,90.41,1.0137,90.41,2088,0,0.0
30,0.7501,91.38,91.33,90.41,1.0137,90.41,2088,0,0.0
31,0.7501,91.38,91.33,90.41,1.0137,90.41,2088,0,0.0
32,0.7501,91.38,91.33,90.41,1.0137,90.41,2088,0,0.0
33,0.7501,91.38,91.33,90.41,1.0137,90.41,2088,0,0.0
34,0.7501,91.38,91.33,90.41,1.0137,90.41,2088,0,0.0
35,0.7501,91.38,91.33,90.41,1.0137,90.41,2088,0,0.0
36,0.7501,91.38,91.33,90.41,1.0137,90.41,2088,0,0.0
37,0.7501,91.38,91.33,90.41,1.0137,90.41,2088,0,0.0
38,0.7501,91.38,91.33,90.41,1.0137,90.41,2088,0,0.0
39,0.7501,91.38,91.33,90.41,1.0137,90.41,2088,0,0.0
40,0.7501,91.38,91.33,90.41,1.0137,90.41,2088,0,0.0
41,0.7501,91.38,91.33,90.41,1.0137,90.41,2088,0,0.0
42,0.7501,91.38,91.33,90.41,1.0137,90.41,2088,0,0.0
43,0.7501,91.38,91.33,90.41,1.0137,90.41,2088,0,0.0
44,0.7501,91.38,91.33,90.41,1.0137,90.41,2088,0,0.0
45,0.7501,91.38,91.33,90.41,1.0137,90.41,2088,0,0.0
46,0.7501,91.38,91.33,90.41,1.0137,90.41,2088,0,0.0
47,0.7501,91.38,91.33,90.41,1.0137,90.41,2088,0,0.0
48,0.7501,91.38,91.33,90.41,1.0137,90.41,2088,0,0.0
